"churn_status"	"session_length_seconds"	"session_count"	"event_count"	"closed_session_event_count"	"open_session_event_count"	"quest_completed_event_count"	"store_purchase_event_count"	"active_days"
"2845"	"Churned"	3664	5	77	7	7	9	0	2
"2846"	"Stayed"	4465	8	87	16	15	24	0	7
"2847"	"Churned"	78	2	8	2	2	0	0	2
"2848"	"Churned"	1123	3	35	4	4	4	0	2
"2849"	"Stayed"	57246	215	1154	288	287	168	4	50
"2850"	"Stayed"	15831	12	345	23	20	115	5	7
"2851"	"Stayed"	15088	32	350	73	73	90	0	15
"2852"	"Stayed"	40472	112	820	140	139	118	16	50
"2853"	"Churned"	3649	2	87	6	6	14	0	2
"2854"	"Stayed"	35845	51	547	77	74	120	7	22
"2855"	"Stayed"	2299	4	27	7	7	3	0	3
"2856"	"Stayed"	38441	194	1149	222	221	127	57	50
"2857"	"Stayed"	35745	66	746	90	90	240	6	7
"2858"	"Churned"	32726	136	867	213	213	29	3	40
"2859"	"Churned"	495	3	25	4	4	1	0	2
"2860"	"Churned"	1129	2	13	3	3	0	0	2
"2861"	"Stayed"	113	4	17	4	4	0	0	4
"2862"	"Churned"	3769	13	99	16	16	25	0	9
"2863"	"Stayed"	54231	165	1207	229	223	192	8	49
"2864"	"Stayed"	70221	104	1581	173	172	398	1	13
"2865"	"Churned"	1120	5	47	8	8	2	0	4
"2866"	"Churned"	4	2	8	2	2	0	0	2
"2867"	"Stayed"	16072	81	571	111	109	55	2	28
"2868"	"Stayed"	7457	49	245	57	56	5	6	29
"2869"	"Stayed"	24671	103	553	136	136	20	5	27
"2870"	"Stayed"	39453	117	791	136	135	124	2	48
"2871"	"Churned"	1312	3	52	4	4	7	0	3
"2872"	"Churned"	70	2	8	2	2	0	0	2
"2873"	"Stayed"	91	1	6	2	2	0	0	1
"2874"	"Stayed"	153778	288	3056	333	325	1445	55	55
"2875"	"Churned"	22	1	4	1	1	0	0	1
"2876"	"Churned"	692	1	16	6	6	0	0	1
"2877"	"Churned"	4587	13	119	18	18	18	0	8
"2878"	"Churned"	3601	3	89	8	8	12	0	1
"2879"	"Churned"	15436	20	307	54	52	110	0	10
"2880"	"Stayed"	71574	267	2047	321	321	613	3	42
"2881"	"Stayed"	143381	370	3486	651	651	1256	4	55
"2882"	"Stayed"	3478	22	103	27	27	2	0	16
"2883"	"Stayed"	199986	427	4862	672	665	2275	5	55
"2884"	"Churned"	279	2	8	2	2	0	0	1
"2885"	"Churned"	140	1	6	2	2	0	0	1
"2886"	"Stayed"	30075	76	665	123	122	51	0	12
"2887"	"Churned"	182933	155	2211	381	422	40	6	15
"2888"	"Stayed"	48429	150	1412	257	258	348	0	52
"2889"	"Stayed"	94539	228	2174	320	341	496	11	45
"2890"	"Stayed"	15856	64	477	85	85	91	1	11
"2891"	"Stayed"	854	2	33	4	4	5	0	1
"2892"	"Stayed"	32130	144	1088	178	177	45	27	51
"2893"	"Stayed"	60692	188	1066	230	224	62	11	27
"2894"	"Churned"	11523	33	329	54	54	30	1	12
"2895"	"Stayed"	204245	417	2604	670	661	313	40	42
"2896"	"Stayed"	52638	33	590	109	109	31	0	12
"2897"	"Churned"	361	2	9	2	2	0	0	2
"2898"	"Churned"	2666	8	95	9	9	12	0	3
"2899"	"Stayed"	50888	53	798	133	132	124	0	19
"2900"	"Stayed"	28754	141	717	156	157	29	16	51
"2901"	"Stayed"	3470	10	105	15	15	8	0	4
"2902"	"Stayed"	6778	14	159	27	27	31	0	2
"2903"	"Stayed"	6152	23	123	20	21	18	3	13
"2904"	"Stayed"	876	5	36	6	6	1	0	5
"2905"	"Churned"	21	1	8	2	2	0	0	1
"2906"	"Churned"	30918	75	547	90	90	47	0	18
"2907"	"Stayed"	4	1	5	1	1	0	0	1
"2908"	"Churned"	4755	5	115	14	11	19	0	4
"2909"	"Stayed"	40748	44	1847	93	94	569	5	16
"2910"	"Churned"	3208	4	135	12	12	19	0	4
"2911"	"Stayed"	35254	84	614	121	118	50	10	39
"2912"	"Churned"	4671	10	94	14	14	29	0	8
"2913"	"Churned"	2650	3	74	12	11	13	0	1
"2914"	"Stayed"	2257	6	33	7	9	1	0	3
"2915"	"Stayed"	9087	21	269	30	30	22	0	13
"2916"	"Stayed"	25755	68	536	84	82	103	6	16
"2917"	"Churned"	1172	2	29	3	3	5	0	2
"2918"	"Stayed"	22446	41	517	68	67	63	0	18
"2919"	"Stayed"	53968	50	851	133	130	295	0	11
"2920"	"Churned"	3880	8	120	13	11	17	0	5
"2921"	"Stayed"	12510	25	398	34	33	81	0	11
"2922"	"Stayed"	29718	133	792	162	161	184	6	55
"2923"	"Stayed"	132083	260	3090	513	512	1134	23	53
"2924"	"Churned"	51	1	4	1	1	0	0	1
"2925"	"Stayed"	77358	62	1858	184	179	471	1	9
"2926"	"Churned"	5860	10	140	18	18	14	1	3
"2927"	"Churned"	526	1	18	3	3	1	0	1
"2928"	"Churned"	6429	5	193	14	14	14	0	3
"2929"	"Stayed"	21	1	4	1	1	0	0	1
"2930"	"Churned"	19212	67	544	94	93	95	1	16
"2931"	"Churned"	1134	2	51	3	3	12	0	2
"2932"	"Churned"	2383	3	43	6	6	3	0	2
"2933"	"Stayed"	4749	10	88	19	19	16	0	9
"2934"	"Churned"	7	1	4	1	1	0	0	1
"2935"	"Churned"	2534	5	92	11	11	12	0	3
"2936"	"Churned"	0	1	1	0	0	0	0	1
"2937"	"Stayed"	135650	256	3867	414	435	1077	9	37
"2938"	"Churned"	12404	11	265	33	32	127	0	7
"2939"	"Stayed"	5353	5	150	12	12	15	0	4
"2940"	"Churned"	4578	34	162	42	42	9	4	16
"2941"	"Churned"	340	2	15	3	3	0	0	1
"2942"	"Stayed"	34223	27	516	63	59	142	0	8
"2943"	"Churned"	147841	217	2355	383	386	518	14	34
"2944"	"Churned"	215	1	8	2	2	0	0	1
"2945"	"Churned"	53	1	6	2	2	0	0	1
"2946"	"Stayed"	22287	79	709	99	99	55	10	38
"2947"	"Churned"	5255	1	137	40	40	8	0	1
"2948"	"Stayed"	3718	19	118	27	26	16	6	15
"2949"	"Stayed"	327452	92	5449	383	380	2702	16	12
"2950"	"Churned"	149	1	8	2	2	0	0	1
"2951"	"Stayed"	21647	52	364	64	62	82	3	28
"2952"	"Stayed"	151674	523	2965	825	819	170	18	52
"2953"	"Churned"	2	1	4	1	1	0	0	1
"2954"	"Stayed"	18978	31	395	43	42	24	1	17
"2955"	"Stayed"	362	7	26	9	9	0	0	3
"2956"	"Stayed"	4774	12	141	15	15	16	0	7
"2957"	"Stayed"	14880	43	411	74	74	22	1	16
"2958"	"Churned"	3487	6	68	11	11	6	0	5
"2959"	"Stayed"	102714	147	2356	280	277	1070	1	35
"2960"	"Churned"	54617	128	1478	190	188	421	1	17
"2961"	"Churned"	8414	8	162	22	22	18	1	4
"2962"	"Churned"	2290	5	105	8	8	10	0	2
"2963"	"Stayed"	1765	6	75	7	7	6	0	6
"2964"	"Churned"	5784	31	161	34	34	9	2	24
"2965"	"Stayed"	52872	88	1353	108	106	454	1	26
"2966"	"Churned"	1989	2	91	10	11	10	2	1
"2967"	"Stayed"	48252	94	1024	157	160	106	3	12
"2968"	"Stayed"	87838	107	1928	194	190	1105	0	16
"2969"	"Churned"	47407	98	905	164	162	251	1	35
"2970"	"Stayed"	723	5	28	7	7	2	0	5
"2971"	"Stayed"	62173	96	1140	230	232	116	2	17
"2972"	"Churned"	3375	10	117	20	19	17	1	7
"2973"	"Churned"	16861	41	476	98	97	59	3	20
"2974"	"Stayed"	155566	208	3263	317	316	640	8	21
"2975"	"Stayed"	96162	253	1681	312	311	287	0	54
"2976"	"Stayed"	10996	54	306	57	55	20	12	45
"2977"	"Stayed"	1444	5	41	7	7	4	0	4
"2978"	"Stayed"	89103	109	1718	179	180	541	1	20
"2979"	"Churned"	3366	3	48	7	7	7	0	2
"2980"	"Churned"	1937	1	41	4	4	9	0	1
"2981"	"Churned"	248	5	29	6	6	0	0	5
"2982"	"Churned"	8981	18	337	44	46	40	0	2
"2983"	"Stayed"	1078	3	44	4	4	4	0	2
"2984"	"Churned"	3	1	6	1	1	0	0	1
"2985"	"Stayed"	743	3	16	3	3	0	0	3
"2986"	"Stayed"	51852	199	1240	235	234	53	34	53
"2987"	"Churned"	2668	8	67	13	13	7	0	7
"2988"	"Churned"	48818	100	884	193	194	41	3	11
"2989"	"Churned"	1520	1	43	2	2	3	0	1
"2990"	"Stayed"	508041	592	9137	1107	1096	4325	21	55
"2991"	"Stayed"	1846	3	79	6	6	12	1	2
"2992"	"Stayed"	119916	211	1999	337	334	464	6	15
"2993"	"Churned"	2075	8	65	18	18	2	1	7
"2994"	"Stayed"	68951	181	1254	236	234	205	26	22
"2995"	"Stayed"	45392	308	1607	422	421	55	14	54
"2996"	"Stayed"	3645	5	94	11	11	6	0	3
"2997"	"Stayed"	32105	76	474	106	105	36	5	32
"2998"	"Stayed"	114238	155	1856	222	221	825	10	41
"2999"	"Churned"	1000	4	43	9	9	2	0	3
"3000"	"Stayed"	96070	380	2289	510	508	84	1	55
"3001"	"Churned"	794	8	37	8	8	4	0	5
"3002"	"Stayed"	93716	281	1867	394	392	345	118	49
"3003"	"Stayed"	15840	18	243	26	26	59	0	7
"3004"	"Stayed"	24656	44	488	90	87	69	2	16
"3005"	"Stayed"	3132	6	85	8	8	18	0	4
"3006"	"Churned"	3911	3	115	6	6	15	0	2
"3007"	"Churned"	1973	6	131	8	9	9	2	3
"3008"	"Churned"	525	7	33	7	7	2	0	6
"3009"	"Churned"	3317	15	168	18	22	21	0	7
"3010"	"Churned"	1423	3	43	4	4	5	0	1
"3011"	"Stayed"	23694	52	622	87	87	119	0	13
"3012"	"Stayed"	2344	7	77	20	20	4	0	5
"3013"	"Stayed"	2539	8	70	16	16	10	0	7
"3014"	"Stayed"	4741	12	184	21	19	20	0	6
"3015"	"Churned"	23523	33	508	67	63	169	2	25
"3016"	"Stayed"	304394	465	4103	931	930	958	34	55
"3017"	"Churned"	1	1	4	1	1	0	0	1
"3018"	"Stayed"	23718	59	1081	155	135	191	2	37
"3019"	"Churned"	4762	12	97	16	16	6	0	7
"3020"	"Churned"	4841	17	156	20	19	19	4	10
"3021"	"Churned"	19711	12	312	25	22	168	0	7
"3022"	"Stayed"	13913	6	390	12	12	274	1	4
"3023"	"Stayed"	171042	199	1789	404	399	114	27	26
"3024"	"Churned"	497	1	17	2	2	1	0	1
"3025"	"Stayed"	10579	50	360	59	59	95	1	35
"3026"	"Stayed"	13913	15	312	33	34	26	1	5
"3027"	"Stayed"	36460	85	620	121	117	129	1	40
"3028"	"Churned"	21436	31	396	68	68	69	74	16
"3029"	"Churned"	37329	72	901	156	153	48	4	20
"3030"	"Stayed"	70698	229	1223	336	335	79	16	51
"3031"	"Stayed"	332	2	12	3	3	0	0	2
"3032"	"Churned"	595	2	24	3	3	4	0	2
"3033"	"Stayed"	7999	9	219	32	33	17	0	3
"3034"	"Stayed"	8424	12	282	22	21	16	3	3
"3035"	"Stayed"	31902	44	942	73	72	222	0	14
"3036"	"Stayed"	44106	114	1978	209	213	301	2	19
"3037"	"Stayed"	315739	579	4663	1124	1130	611	183	55
"3038"	"Churned"	644	1	13	4	4	0	0	1
"3039"	"Stayed"	5740	10	138	17	17	16	0	6
"3040"	"Stayed"	8638	13	162	28	27	19	0	9
"3041"	"Stayed"	928	3	24	6	7	0	0	2
"3042"	"Stayed"	12830	30	289	41	40	42	3	19
"3043"	"Churned"	644	1	22	2	2	2	0	1
"3044"	"Churned"	22633	31	417	47	47	65	0	9
"3045"	"Churned"	878	5	43	7	7	6	0	2
"3046"	"Churned"	1048	1	28	5	5	2	0	1
"3047"	"Churned"	43	2	10	3	3	0	0	2
"3048"	"Stayed"	113596	222	2859	320	319	1355	40	46
"3049"	"Stayed"	1710	5	58	9	10	6	0	1
"3050"	"Churned"	5948	15	155	21	20	17	2	7
"3051"	"Churned"	3237	4	233	8	7	25	0	3
"3052"	"Churned"	147	1	6	2	2	0	0	1
"3053"	"Stayed"	7277	27	280	32	32	23	0	17
"3054"	"Churned"	6440	18	152	26	25	8	20	14
"3055"	"Churned"	3030	5	82	9	9	15	0	3
"3056"	"Stayed"	234896	285	4556	367	364	2338	28	54
"3057"	"Stayed"	520	11	59	16	16	0	0	10
"3058"	"Churned"	386	1	20	6	6	0	0	1
"3059"	"Stayed"	72	1	7	2	2	0	0	1
"3060"	"Churned"	5325	30	151	38	37	10	0	18
"3061"	"Churned"	1208	1	37	2	2	4	0	1
"3062"	"Stayed"	1403	10	29	6	3	0	0	9
"3063"	"Churned"	1996	3	63	10	10	8	4	1
"3064"	"Stayed"	36821	75	983	111	111	161	6	23
"3065"	"Stayed"	27383	36	308	71	71	46	1	8
"3066"	"Stayed"	155205	128	2079	321	354	246	9	13
"3067"	"Churned"	27688	81	558	107	107	79	2	15
"3068"	"Stayed"	37344	64	1001	103	102	153	2	17
"3069"	"Churned"	714	2	24	4	3	2	0	2
"3070"	"Stayed"	281	3	17	4	4	0	0	3
"3071"	"Stayed"	215	4	21	6	6	0	0	3
"3072"	"Churned"	14934	61	325	69	68	30	0	34
"3073"	"Churned"	2509	9	81	10	10	7	0	4
"3074"	"Churned"	11435	27	291	41	41	45	3	16
"3075"	"Stayed"	10375	17	297	37	37	116	2	7
"3076"	"Churned"	28439	42	493	85	78	96	2	18
"3077"	"Stayed"	144054	92	1487	353	355	119	9	16
"3078"	"Stayed"	292493	439	4568	969	964	1349	29	51
"3079"	"Stayed"	46401	127	1079	185	181	41	1	34
"3080"	"Churned"	1955	4	62	7	7	11	0	3
"3081"	"Stayed"	42090	132	776	170	168	121	8	33
"3082"	"Churned"	2602	5	53	7	7	16	0	4
"3083"	"Churned"	11843	7	231	13	13	96	0	4
"3084"	"Churned"	2979	5	47	10	10	2	0	3
"3085"	"Stayed"	93	1	6	2	2	0	0	1
"3086"	"Stayed"	41396	50	719	105	104	56	3	21
"3087"	"Stayed"	58120	102	1062	187	175	156	1	33
"3088"	"Stayed"	117883	393	2216	558	555	206	16	43
"3089"	"Stayed"	58323	50	719	214	205	71	26	20
"3090"	"Stayed"	50133	114	793	154	153	95	6	30
"3091"	"Stayed"	70032	218	1600	253	252	113	2	50
"3092"	"Stayed"	5869	12	156	16	16	55	0	4
"3093"	"Churned"	331	1	16	2	2	1	0	1
"3094"	"Churned"	938	2	40	3	3	4	0	2
"3095"	"Stayed"	781	1	19	0	1	6	0	1
"3096"	"Stayed"	5840	6	124	8	9	19	0	5
"3097"	"Stayed"	38931	129	750	171	170	16	0	51
"3098"	"Churned"	3693	2	88	13	11	12	0	1
"3099"	"Stayed"	1440	3	36	7	7	1	0	1
"3100"	"Stayed"	236812	574	5588	895	893	2383	13	55
"3101"	"Stayed"	12339	84	396	92	93	9	1	44
"3102"	"Stayed"	36614	61	737	81	83	23	3	18
"3103"	"Churned"	6889	51	265	57	57	37	0	9
"3104"	"Churned"	3362	11	60	14	14	5	0	6
"3105"	"Churned"	592	1	22	2	2	3	0	1
"3106"	"Churned"	1292	4	37	8	8	2	0	4
"3107"	"Stayed"	115702	134	2086	368	365	466	8	12
"3108"	"Stayed"	10116	38	210	46	46	16	1	13
"3109"	"Stayed"	949	2	34	3	2	4	0	1
"3110"	"Churned"	1761	3	63	6	6	5	0	3
"3111"	"Stayed"	477770	236	11149	907	898	7420	20	42
"3112"	"Churned"	814	2	25	3	3	1	0	2
"3113"	"Stayed"	48834	203	1197	264	263	167	31	52
"3114"	"Churned"	32868	59	725	96	95	115	1	11
"3115"	"Stayed"	5664	2	64	7	7	6	0	1
"3116"	"Stayed"	229614	410	2786	665	667	406	2	55
"3117"	"Churned"	36071	80	966	121	119	232	0	10
"3118"	"Churned"	1534	14	58	14	14	2	0	6
"3119"	"Stayed"	14684	37	285	44	43	32	1	17
"3120"	"Stayed"	555	4	30	10	10	0	0	2
"3121"	"Churned"	10663	37	273	56	56	18	0	6
"3122"	"Stayed"	20178	21	418	32	35	104	1	10
"3123"	"Stayed"	21998	59	533	76	74	94	8	28
"3124"	"Stayed"	976	1	22	3	3	1	0	1
"3125"	"Stayed"	93523	138	1729	222	225	217	9	41
"3126"	"Stayed"	13545	10	333	24	24	23	0	4
"3127"	"Churned"	9138	95	472	108	108	38	0	38
"3128"	"Churned"	96	4	16	4	4	0	0	4
"3129"	"Churned"	8	1	4	1	1	0	0	1
"3130"	"Stayed"	25168	87	725	102	101	181	4	21
"3131"	"Stayed"	6605	17	161	26	26	8	0	8
"3132"	"Churned"	31669	30	971	76	76	299	1	6
"3133"	"Stayed"	18644	12	265	39	36	27	1	3
"3134"	"Stayed"	302321	319	7414	574	570	4557	26	55
"3135"	"Churned"	2804	3	47	8	7	3	1	2
"3136"	"Stayed"	12182	23	401	29	29	57	3	10
"3137"	"Stayed"	47480	60	848	126	124	261	0	22
"3138"	"Stayed"	157	1	7	2	2	0	0	1
"3139"	"Churned"	5473	14	77	21	17	0	0	10
"3140"	"Churned"	118	1	7	2	2	0	0	1
"3141"	"Churned"	70245	109	1090	242	234	92	6	14
"3142"	"Churned"	793	6	34	6	6	5	0	4
"3143"	"Stayed"	135	2	13	4	4	0	0	2
"3144"	"Stayed"	6065	74	273	82	82	3	0	22
"3145"	"Churned"	1453	5	51	10	10	6	0	1
"3146"	"Churned"	29	1	4	1	1	0	0	1
"3147"	"Stayed"	12504	36	225	45	44	58	0	22
"3148"	"Stayed"	11716	28	262	45	44	16	0	18
"3149"	"Churned"	12735	21	421	31	30	97	0	9
"3150"	"Churned"	1487	6	33	7	7	0	0	4
"3151"	"Stayed"	1046	1	13	4	4	0	0	1
"3152"	"Stayed"	22104	70	521	105	105	45	0	37
"3153"	"Stayed"	42165	68	720	114	113	37	6	33
"3154"	"Churned"	113	1	6	2	2	0	0	1
"3155"	"Churned"	3449	4	60	10	9	8	0	3
"3156"	"Stayed"	100170	313	2150	382	380	451	6	54
"3157"	"Stayed"	190	3	10	3	2	0	0	3
"3158"	"Churned"	6589	74	308	82	81	6	0	33
"3159"	"Stayed"	15813	42	323	51	52	33	1	8
"3160"	"Stayed"	43136	51	956	87	84	290	1	7
"3161"	"Stayed"	3060	7	117	11	11	15	0	6
"3162"	"Stayed"	27795	71	566	93	93	52	1	12
"3163"	"Stayed"	6550	20	127	24	24	25	0	12
"3164"	"Churned"	1043	10	48	12	12	1	0	10
"3165"	"Stayed"	8456	4	82	11	11	37	0	2
"3166"	"Stayed"	22471	64	563	112	104	40	0	20
"3167"	"Stayed"	43143	88	850	117	117	182	3	36
"3168"	"Churned"	73139	175	1338	272	269	386	6	26
"3169"	"Stayed"	457	4	20	4	5	0	0	2
"3170"	"Churned"	9516	31	200	40	39	8	0	23
"3171"	"Churned"	541	1	25	3	3	5	0	1
"3172"	"Stayed"	112	2	8	2	2	0	0	2
"3173"	"Stayed"	1777	9	72	14	14	7	0	8
"3174"	"Churned"	60	1	4	1	1	0	0	1
"3175"	"Stayed"	46184	112	698	213	207	13	10	35
"3176"	"Stayed"	47527	122	793	129	128	147	15	44
"3177"	"Churned"	2465	16	88	21	21	4	0	7
"3178"	"Churned"	7	1	5	1	1	0	0	1
"3179"	"Churned"	412	2	11	2	2	1	0	2
"3180"	"Churned"	2803	4	59	10	10	6	0	3
"3181"	"Churned"	1959	4	58	7	7	5	0	1
"3182"	"Churned"	9598	15	238	17	17	47	2	8
"3183"	"Churned"	90099	179	1865	342	340	473	2	28
"3184"	"Churned"	1635	2	81	3	3	16	0	1
"3185"	"Stayed"	14834	14	334	25	25	111	0	7
"3186"	"Churned"	7422	18	233	25	25	44	0	5
"3187"	"Churned"	118	1	9	3	3	0	0	1
"3188"	"Churned"	13108	47	215	58	58	12	2	16
"3189"	"Churned"	3593	2	83	6	5	15	0	1
"3190"	"Churned"	173	1	8	2	2	0	0	1
"3191"	"Stayed"	13474	37	268	57	58	37	0	16
"3192"	"Churned"	31591	119	569	158	157	28	5	31
"3193"	"Churned"	577	2	34	7	7	4	3	2
"3194"	"Churned"	141774	103	1801	279	279	690	6	24
"3195"	"Stayed"	5332	21	158	26	25	40	2	15
"3196"	"Stayed"	124136	273	2477	627	629	357	5	46
"3197"	"Churned"	1713	1	53	2	2	6	0	1
"3198"	"Churned"	6214	37	218	55	54	22	0	24
"3199"	"Stayed"	81205	85	1131	267	264	148	7	23
"3200"	"Churned"	136	2	10	3	3	0	0	2
"3201"	"Churned"	1085	3	26	4	4	3	0	2
"3202"	"Churned"	1990	3	24	3	1	8	0	3
"3203"	"Stayed"	13154	62	408	80	81	41	27	26
"3204"	"Stayed"	9620	40	290	52	51	90	0	28
"3205"	"Stayed"	18950	21	274	30	31	29	1	14
"3206"	"Stayed"	124730	286	2612	462	469	598	22	50
"3207"	"Stayed"	4040	15	145	19	21	23	0	10
"3208"	"Stayed"	41459	55	731	152	152	135	2	10
"3209"	"Stayed"	153426	296	2159	439	432	275	5	33
"3210"	"Stayed"	13581	30	310	46	45	31	2	7
"3211"	"Stayed"	7288	19	230	26	26	43	0	13
"3212"	"Churned"	6163	40	218	45	44	14	2	25
"3213"	"Stayed"	93681	229	2642	315	313	952	14	53
"3214"	"Stayed"	5444	8	69	15	14	5	0	5
"3215"	"Stayed"	100638	77	1962	171	171	300	5	11
"3216"	"Churned"	4504	9	116	12	12	18	0	4
"3217"	"Stayed"	1327	3	61	7	7	10	0	3
"3218"	"Stayed"	16197	21	436	46	44	42	0	8
"3219"	"Churned"	3525	2	193	4	4	14	0	2
"3220"	"Stayed"	8980	22	254	32	33	121	1	6
"3221"	"Churned"	7793	9	132	17	17	11	2	7
"3222"	"Stayed"	52804	92	834	135	134	174	4	12
"3223"	"Stayed"	86214	154	1758	366	367	199	8	18
"3224"	"Churned"	72	2	14	3	3	0	0	2
"3225"	"Churned"	398	1	14	4	4	0	0	1
"3226"	"Stayed"	5722	6	68	16	17	20	1	1
"3227"	"Stayed"	40666	24	770	76	73	274	2	15
"3228"	"Stayed"	47602	122	976	199	198	146	25	44
"3229"	"Stayed"	26450	46	382	67	66	34	7	19
"3230"	"Churned"	3540	4	153	28	28	17	0	2
"3231"	"Churned"	18447	93	537	101	101	62	7	27
"3232"	"Stayed"	6862	17	166	25	25	21	0	11
"3233"	"Churned"	418	1	18	2	2	1	0	1
"3234"	"Stayed"	215668	277	4550	603	602	2173	32	43
"3235"	"Churned"	339	1	10	3	3	0	0	1
"3236"	"Churned"	13	8	17	3	3	0	0	8
"3237"	"Churned"	9148	17	221	31	31	28	0	8
"3238"	"Stayed"	52963	269	1300	334	333	121	21	52
"3239"	"Churned"	2044	3	34	4	4	6	0	3
"3240"	"Churned"	31965	33	696	65	65	109	0	13
"3241"	"Stayed"	3120	5	60	9	9	8	0	5
"3242"	"Stayed"	137160	104	2258	337	336	669	8	8
"3243"	"Churned"	6017	6	133	15	14	61	0	6
"3244"	"Churned"	950	4	25	5	5	2	0	4
"3245"	"Stayed"	76122	267	1572	346	345	133	24	55
"3246"	"Stayed"	532	3	27	4	4	1	0	3
"3247"	"Stayed"	1407	7	38	10	10	1	0	3
"3248"	"Churned"	236	1	9	1	1	0	0	1
"3249"	"Churned"	1129	2	28	4	4	1	0	2
"3250"	"Stayed"	146022	257	2477	492	493	321	9	21
"3251"	"Stayed"	15235	45	486	67	67	65	0	27
"3252"	"Stayed"	566	1	23	6	6	0	0	1
"3253"	"Stayed"	3178	8	84	11	11	14	0	7
"3254"	"Stayed"	4370	11	102	18	17	11	0	4
"3255"	"Churned"	7067	11	106	17	17	13	0	4
"3256"	"Stayed"	13995	31	273	46	46	68	0	17
"3257"	"Churned"	7916	16	155	33	33	17	4	8
"3258"	"Churned"	441	1	22	2	2	5	0	1
"3259"	"Churned"	429	1	17	2	2	1	0	1
"3260"	"Churned"	1449	4	39	8	8	4	0	2
"3261"	"Churned"	2450	3	82	8	8	11	0	1
"3262"	"Stayed"	61404	212	1284	254	256	166	8	30
"3263"	"Stayed"	84292	140	1610	389	388	275	23	22
"3264"	"Stayed"	15287	59	762	74	72	32	5	41
"3265"	"Churned"	728	1	27	5	5	2	0	1
"3266"	"Stayed"	1852	16	74	18	18	2	0	14
"3267"	"Stayed"	108250	136	1538	238	237	435	12	23
"3268"	"Churned"	10513	7	180	22	22	31	0	5
"3269"	"Stayed"	9116	3	165	7	7	24	0	2
"3270"	"Churned"	524	2	14	4	4	0	0	2
"3271"	"Stayed"	363327	330	2340	553	538	128	17	29
"3272"	"Churned"	141	1	10	3	3	0	0	1
"3273"	"Churned"	22264	39	422	64	62	66	1	23
"3274"	"Churned"	195	1	7	2	2	0	0	1
"3275"	"Churned"	35	1	6	2	2	0	0	1
"3276"	"Churned"	2459	13	108	17	17	14	0	10
"3277"	"Stayed"	41386	122	748	145	144	66	11	37
"3278"	"Stayed"	45574	68	636	138	137	134	1	20
"3279"	"Churned"	5555	4	142	11	11	11	0	3
"3280"	"Stayed"	74620	43	1073	96	97	450	3	7
"3281"	"Stayed"	8066	16	97	21	21	8	1	10
"3282"	"Stayed"	3520	53	234	59	59	0	0	38
"3283"	"Churned"	1045	4	24	5	5	2	0	3
"3284"	"Churned"	7721	6	144	13	12	20	1	3
"3285"	"Churned"	22078	29	318	70	70	33	3	6
"3286"	"Stayed"	3861	24	120	28	29	8	0	16
"3287"	"Stayed"	264	3	14	4	4	0	0	2
"3288"	"Stayed"	4179	11	164	13	12	14	0	6
"3289"	"Stayed"	124089	192	2308	325	320	629	2	40
"3290"	"Churned"	449	4	25	6	6	1	0	4
"3291"	"Stayed"	370364	444	8019	1017	1008	3447	3	54
"3292"	"Churned"	8625	24	226	27	27	54	1	9
"3293"	"Stayed"	4796	11	125	18	18	15	0	9
"3294"	"Churned"	11347	37	243	48	48	18	2	10
"3295"	"Churned"	3297	8	51	8	8	4	0	8
"3296"	"Churned"	998	3	31	6	5	2	0	3
"3297"	"Stayed"	256402	220	3644	651	647	1180	0	39
"3298"	"Churned"	579	1	13	4	4	0	0	1
"3299"	"Churned"	7152	29	236	38	38	28	1	8
"3300"	"Churned"	117	1	4	1	1	0	0	1
"3301"	"Stayed"	37707	38	523	134	135	16	0	19
"3302"	"Stayed"	48144	190	1273	218	218	176	9	50
"3303"	"Churned"	208194	351	3290	673	672	978	16	36
"3304"	"Stayed"	22282	49	535	93	93	115	0	14
"3305"	"Churned"	43186	55	378	87	87	8	2	18
"3306"	"Churned"	1961	1	49	6	6	1	0	1
"3307"	"Churned"	1156	1	20	2	2	10	0	1
"3308"	"Churned"	0	1	1	0	0	0	0	1
"3309"	"Stayed"	143440	207	2359	441	442	458	16	39
"3310"	"Stayed"	4624	13	98	18	18	6	1	6
"3311"	"Stayed"	12542	27	263	46	46	34	0	16
"3312"	"Churned"	5278	8	127	11	11	15	0	7
"3313"	"Churned"	2465	2	96	6	6	16	0	2
"3314"	"Churned"	1303	6	75	7	7	8	0	5
"3315"	"Stayed"	67489	53	971	150	147	112	4	9
"3316"	"Stayed"	113336	132	1770	418	418	135	5	26
"3317"	"Stayed"	54247	82	1004	127	125	63	2	17
"3318"	"Stayed"	4625	3	57	7	7	8	0	3
"3319"	"Stayed"	52836	83	874	127	126	147	4	14
"3320"	"Stayed"	35896	155	1006	232	235	37	27	46
"3321"	"Stayed"	70011	122	1551	197	197	467	15	25
"3322"	"Churned"	170	2	8	2	2	0	0	2
"3323"	"Churned"	165720	137	3923	280	274	1345	2	23
"3324"	"Churned"	9812	75	367	98	98	19	0	25
"3325"	"Stayed"	17832	29	313	49	50	31	0	12
"3326"	"Stayed"	137385	149	1987	328	326	418	4	28
"3327"	"Stayed"	25	1	4	1	1	0	0	1
"3328"	"Churned"	6854	2	91	5	5	8	0	1
"3329"	"Stayed"	59640	127	916	186	186	156	6	47
"3330"	"Stayed"	161884	313	3379	500	495	1411	3	55
